equipment_id,equipment_type,runtime_hours,temperature,fault_count_30_days,downtime_minutes_30_days,days_since_last_pm,sensor_reading,throughput_rate,failure_next_7_days,fault_type
EQ_0032,conveyor,834,83.4,2,12,60,76.68,2029,0,none
EQ_0033,induct station,85,84.85,5,214,63,67.03,1353,0,none
EQ_0034,conveyor,100,105.78,2,179,42,21.99,1337,0,none
EQ_0035,robot,1127,54.1,5,349,47,56.39,1366,0,none
EQ_0036,robot,2920,76.71,3,317,23,42.71,1650,0,none
EQ_0037,divert,1981,63.6,1,125,118,44.98,1059,0,none
EQ_0038,robot,537,80.21,4,153,16,58.67,1958,0,none
EQ_0039,conveyor,1046,73.93,1,93,110,37.77,1457,0,none
EQ_0040,induct station,502,66.88,2,221,101,49.11,522,0,none
EQ_0041,divert,1835,96.52,0,222,10,69.85,1261,1,jam
EQ_0042,induct station,2539,116.24,9,178,43,51.26,2136,1,jam
EQ_0043,divert,1341,83.27,2,94,46,48.37,2421,0,none
EQ_0044,robot,2596,59.48,4,390,68,66.75,1325,1,overheating
EQ_0045,robot,1699,88.8,3,191,99,54.61,2212,0,none
EQ_0046,divert,1172,56.55,7,272,113,31.69,561,1,sensor_fault
EQ_0047,conveyor,645,71.72,2,232,19,64.24,575,0,none
EQ_0048,conveyor,314,81.89,4,24,52,48.05,1390,0,none
EQ_0049,sorter,1542,87.25,2,397,95,60.01,1133,0,none
EQ_0050,robot,1206,81.89,7,392,50,75.13,1294,1,jam
EQ_0051,sorter,2731,78.53,4,326,89,32.36,1824,1,jam
EQ_0052,induct station,1205,93.92,3,18,39,35.68,1649,0,none
EQ_0053,robot,222,77.78,1,316,105,45.67,2458,0,none
EQ_0054,induct station,2484,83.91,3,133,58,51.33,2079,0,none
EQ_0055,robot,734,78.84,2,19,57,64.75,1925,0,none
EQ_0056,sorter,2144,95.41,4,11,74,64.39,1235,1,motor_fault
EQ_0057,robot,2881,76.67,2,89,8,64.64,1197,0,none
EQ_0058,sorter,589,55.05,6,302,25,55.44,949,0,none
EQ_0059,robot,59,92.15,3,341,59,42.96,1294,0,none
EQ_0060,conveyor,738,76.63,2,5,92,68.57,1208,0,none
EQ_0061,divert,1718,78.06,5,50,45,50.7,1216,0,none
EQ_0062,sorter,1519,82.03,0,94,72,57.42,2074,0,none
EQ_0063,divert,2251,36.26,4,250,57,45.98,900,0,none
EQ_0064,sorter,673,46.69,8,307,38,40.17,2004,0,none
EQ_0065,sorter,1408,97.54,5,68,34,29.3,2297,0,none
EQ_0066,induct station,2150,64.22,3,335,95,40.97,2494,1,belt_issues
EQ_0067,robot,1985,64.78,4,121,51,57.32,1926,0,none
EQ_0068,divert,1078,62.64,0,325,1,30.48,1144,0,none
EQ_0069,sorter,2330,87.43,1,72,26,45.69,748,0,none
EQ_0070,robot,2144,69.6,2,25,36,53.21,1780,0,none
EQ_0071,conveyor,2105,69.16,2,27,87,58.69,577,0,none
EQ_0072,sorter,414,82.8,2,273,38,38.23,1238,0,none
EQ_0073,conveyor,1956,68.27,1,272,103,36.43,585,1,motor_fault
EQ_0074,induct station,175,98.25,2,110,86,63.22,533,0,none
EQ_0075,robot,672,72.71,1,5,52,73.73,1805,0,none
EQ_0076,conveyor,1811,77.87,2,276,70,25.43,2105,1,sensor_fault
EQ_0077,divert,1576,92.27,2,136,119,49.38,1398,0,none
EQ_0078,robot,292,87.57,0,117,113,52.18,2129,0,none
EQ_0079,sorter,2601,87.79,4,117,68,58.5,2310,0,none
EQ_0080,induct station,773,58.47,2,292,11,50.72,2034,0,none
EQ_0081,induct station,2942,70.18,1,137,44,50.71,1397,0,none
EQ_0082,induct station,2110,71.01,1,264,75,53.91,1410,1,sensor_fault
EQ_0083,robot,1993,93.46,3,372,75,56.97,1660,1,sensor_fault
EQ_0084,sorter,2685,86.02,1,348,72,47.16,2302,1,overheating
EQ_0085,divert,922,87.15,2,77,26,59.57,1073,0,none
EQ_0086,robot,181,87.84,6,152,17,24.39,1748,0,none
EQ_0087,divert,552,69.03,3,178,72,50.82,1053,0,none
EQ_0088,induct station,1521,98.47,5,195,86,49.52,2357,1,overheating
EQ_0089,induct station,566,73.83,3,183,15,62.44,1680,0,none
EQ_0090,robot,2144,94.97,0,114,115,42.9,2455,1,sensor_fault
EQ_0091,sorter,843,68.71,3,302,90,31.33,801,0,none
EQ_0092,divert,412,81.36,2,315,43,33.12,1983,0,none
EQ_0093,induct station,405,70.77,1,295,41,69.53,2249,0,none
EQ_0094,conveyor,2876,66.12,5,398,21,48.11,1954,0,none
EQ_0095,conveyor,1382,90.85,0,290,63,41.26,743,1,jam
EQ_0096,sorter,586,59.33,2,250,51,8.23,1705,0,none
EQ_0097,sorter,713,63.67,0,160,49,54.16,784,0,none
EQ_0098,induct station,112,67.12,3,147,118,39.19,841,0,none
EQ_0099,divert,2573,61.92,2,378,56,52.23,1222,0,none
EQ_0100,conveyor,2129,105.08,4,193,118,41.4,1487,1,belt_issues
EQ_0101,induct station,1186,92.95,1,54,103,18.9,2166,1,overheating
EQ_0102,induct station,849,84.17,7,254,72,45.58,1577,1,overheating
EQ_0103,robot,2858,71.71,2,95,88,57.34,1601,0,none
EQ_0104,divert,1361,80.82,3,6,74,53.79,1274,0,none
EQ_0105,conveyor,2248,81.96,5,118,12,63.05,2055,0,none
EQ_0106,conveyor,2358,92.22,5,157,59,39.95,2250,0,none
EQ_0107,divert,177,77.23,4,277,107,29.86,993,0,none
EQ_0108,robot,2101,91.24,4,164,25,67.27,1497,0,none
EQ_0109,robot,1451,71.26,1,286,6,54.71,1230,0,none
EQ_0110,conveyor,217,86.54,5,129,54,30.01,1886,0,none
EQ_0111,robot,2916,79.77,2,163,113,46.66,686,0,none
EQ_0112,induct station,2904,84.49,3,249,36,51.99,1250,0,none
EQ_0113,sorter,1812,80.83,3,72,73,53.49,795,0,none
EQ_0114,induct station,1090,97.86,2,228,108,39.44,671,1,jam
EQ_0115,robot,1508,85.46,1,304,61,26.45,1540,0,none
EQ_0116,divert,379,80.61,3,80,87,79.19,2008,0,none
EQ_0117,sorter,2471,78.48,3,25,47,50.17,1811,0,none
EQ_0118,divert,827,62.99,1,6,9,89.09,1382,0,none
EQ_0119,conveyor,2785,75.65,2,102,17,35.54,2049,0,none
EQ_0120,robot,1232,88.83,4,38,15,19.82,2411,0,none
EQ_0121,divert,2594,102.51,5,33,30,57.28,750,0,none
EQ_0122,divert,808,72.75,2,28,62,32.2,976,0,none
EQ_0123,sorter,367,105.59,6,2,45,44.56,1665,0,none
EQ_0124,sorter,425,65.93,1,192,53,34.24,2498,0,none
EQ_0125,robot,2682,75.06,3,379,70,36.75,1306,1,sensor_fault
EQ_0126,divert,1513,80.92,3,71,20,63.92,2384,0,none
EQ_0127,divert,1383,81.47,1,217,41,86.83,1252,0,none
EQ_0128,conveyor,2603,70.35,2,98,20,67.84,2413,0,none
EQ_0129,divert,1826,73.52,4,119,111,32.4,1612,0,none
EQ_0130,robot,2426,51.05,2,225,76,36.82,669,1,belt_issues
EQ_0131,conveyor,570,84.08,3,250,5,46.99,1699,0,none
EQ_0132,conveyor,1675,84.61,3,300,96,50.58,817,0,none
EQ_0133,robot,2446,79.82,6,58,59,62.94,1315,0,none
EQ_0134,robot,1754,63.97,3,132,107,38.86,1056,0,none
EQ_0135,sorter,875,90.48,0,159,107,48.58,1960,0,none
EQ_0136,conveyor,1624,82.42,2,223,13,44.1,1569,0,none
EQ_0137,sorter,1740,78.3,4,73,105,51.35,1747,0,none
EQ_0138,divert,1043,92.51,4,218,64,28.38,1540,1,jam
EQ_0139,conveyor,2621,79.6,2,305,14,39.5,1203,0,none
EQ_0140,induct station,736,82.41,0,394,33,42.11,2169,0,none
EQ_0141,conveyor,2976,96.79,4,396,105,49.01,538,1,overheating
EQ_0142,sorter,936,71.49,3,194,81,63.16,1905,0,none
EQ_0143,sorter,2845,55.84,3,280,24,41.5,2047,0,none
EQ_0144,induct station,1859,77.01,7,180,24,66.76,2351,0,none
EQ_0145,divert,427,92.99,2,235,84,57.37,2263,1,sensor_fault
EQ_0146,robot,570,77.52,1,116,2,28.54,1867,0,none
EQ_0147,divert,633,72.65,0,273,94,21.66,1843,1,overheating
EQ_0148,induct station,387,107.67,4,213,51,42.56,1611,0,none
EQ_0149,sorter,1626,77.96,3,352,2,32.62,724,0,none
EQ_0150,divert,2898,72.35,3,142,98,66.13,605,0,none
EQ_0151,sorter,936,82.22,3,222,32,51.99,1052,0,none
EQ_0152,robot,765,82.72,3,83,80,60.22,1399,0,none
EQ_0153,induct station,71,102.9,2,11,87,39.66,2047,0,none
EQ_0154,robot,1610,74.16,3,182,32,56.36,806,0,none
EQ_0155,induct station,2039,66.8,5,206,97,61.3,1402,1,overheating
EQ_0156,induct station,1405,91.58,6,249,117,45.88,1365,1,jam
EQ_0157,sorter,1585,96.12,5,17,40,74.61,520,0,none
EQ_0158,sorter,2964,72.28,4,40,62,70.82,2025,1,jam
EQ_0159,robot,1901,97.32,2,144,89,25.31,527,1,jam
EQ_0160,divert,2163,98.6,2,9,67,73.06,1129,1,overheating
EQ_0161,sorter,319,70.9,2,263,43,20.72,1471,0,none
EQ_0162,divert,2610,69.1,3,304,113,30.43,2155,1,sensor_fault
EQ_0163,conveyor,1629,91.14,2,333,2,47.58,1468,0,none
EQ_0164,conveyor,2608,63.15,1,160,113,59.44,1190,0,none
EQ_0165,conveyor,1279,67.43,2,216,50,74.24,2320,0,none
EQ_0166,sorter,1258,59.47,3,125,45,57.55,807,0,none
EQ_0167,conveyor,1409,78.77,1,263,29,51.81,1875,0,none
EQ_0168,conveyor,1431,75.71,8,327,89,53.26,1313,1,motor_fault
EQ_0169,conveyor,2037,65.08,3,219,66,60.03,1509,1,overheating
EQ_0170,sorter,753,90.06,5,101,19,46.21,1977,0,none
EQ_0171,robot,2494,74.43,3,142,65,70.64,1599,1,belt_issues
EQ_0172,sorter,760,53.77,4,266,99,66.07,1467,0,none
EQ_0173,divert,2939,78.03,5,132,98,74.31,803,1,sensor_fault
EQ_0174,divert,1813,94.61,3,106,119,58.46,835,1,overheating
EQ_0175,induct station,1888,63.76,2,333,68,72.96,1507,1,sensor_fault
EQ_0176,induct station,422,66.14,5,131,90,33.45,1868,0,none
EQ_0177,induct station,399,84.6,3,297,56,35.47,535,0,none
EQ_0178,sorter,1157,94.77,1,361,47,48.87,1390,0,none
EQ_0179,conveyor,2238,92.47,2,9,88,55.76,877,1,jam
EQ_0180,induct station,1706,63.07,5,163,74,39.61,1492,0,none
EQ_0181,robot,1512,63.75,3,292,15,54.65,918,0,none
EQ_0182,induct station,1037,84.7,2,257,64,32.15,2326,0,none
EQ_0183,induct station,312,68.36,4,18,68,74.59,1741,0,none
EQ_0184,induct station,1175,58.52,1,352,36,58.45,2422,0,none
EQ_0185,conveyor,122,64.79,1,48,60,39.33,2165,0,none
EQ_0186,conveyor,1005,70.54,5,325,2,60.52,1226,0,none
EQ_0187,conveyor,1245,86.34,2,299,58,79.2,2071,0,none
EQ_0188,induct station,2550,84.47,2,120,55,36.19,1411,0,none
EQ_0189,robot,706,49.97,2,359,108,42.51,820,0,none
EQ_0190,conveyor,335,105.83,2,271,76,55.9,2073,1,sensor_fault
EQ_0191,sorter,1573,65.15,1,248,73,36.65,948,0,none
EQ_0192,sorter,1916,71.39,5,243,106,62.2,511,1,overheating
EQ_0193,induct station,610,78.98,6,162,66,48.52,1358,0,none
EQ_0194,sorter,179,86.55,4,335,54,51.8,737,0,none
EQ_0195,induct station,2478,81.44,3,24,79,48.27,2103,0,none
EQ_0196,sorter,2029,73.06,5,42,2,54.53,1583,0,none
EQ_0197,robot,2760,75.44,2,55,79,72.36,956,1,belt_issues
EQ_0198,sorter,1032,71.24,1,370,7,43.84,1603,0,none
EQ_0199,conveyor,449,78.19,6,62,101,39.07,2151,0,none
EQ_0200,induct station,1647,62.73,2,85,5,70.18,1009,0,none
EQ_0201,divert,1256,71.08,0,78,21,11.13,1149,0,none
EQ_0202,conveyor,1961,60.25,0,241,109,52.75,1736,1,jam
EQ_0203,divert,2435,61.34,3,195,34,38.57,2087,0,none
EQ_0204,conveyor,673,75.92,4,104,64,75.68,516,0,none
EQ_0205,conveyor,442,75.63,5,213,72,44.3,1444,0,none
EQ_0206,sorter,128,76.51,3,7,77,64.64,1723,0,none
EQ_0207,sorter,136,73.62,1,132,20,52.77,776,0,none
EQ_0208,induct station,281,61.83,3,260,5,35.43,849,0,none
EQ_0209,induct station,2087,68.62,0,367,92,63.19,1860,1,belt_issues
EQ_0210,sorter,1296,69.8,2,291,68,60.64,2113,0,none
EQ_0211,induct station,1690,83.47,0,369,10,82.48,648,0,none
EQ_0212,conveyor,701,65.87,4,9,15,48.99,772,0,none
EQ_0213,sorter,985,68.05,3,212,44,53.03,1811,0,none
EQ_0214,induct station,735,63.45,4,125,8,67.03,801,0,none
EQ_0215,conveyor,2335,85.95,4,257,29,67.6,712,0,none
EQ_0216,induct station,512,63.65,4,117,19,49.4,522,0,none
EQ_0217,robot,2510,79.95,3,71,1,37.16,2399,0,none
EQ_0218,induct station,1334,73.74,3,383,46,59.15,730,0,none
EQ_0219,robot,1804,71.82,2,89,58,33.35,1065,0,none
EQ_0220,induct station,2306,87.29,4,110,4,66.83,1543,0,none
EQ_0221,divert,1979,80.7,3,37,46,63.99,2295,0,none
EQ_0222,induct station,237,71.38,1,335,58,88.37,1578,0,none
EQ_0223,sorter,2597,102.74,5,151,109,68.13,1599,1,sensor_fault
EQ_0224,robot,591,78.98,1,112,55,69.6,980,0,none
EQ_0225,sorter,1219,71.01,4,197,4,47.43,1159,0,none
EQ_0226,conveyor,1825,84.54,7,106,113,35.85,2385,1,overheating
EQ_0227,divert,2351,98.16,2,34,46,61.02,1421,0,none
EQ_0228,conveyor,630,73.57,3,259,103,56.03,1818,0,none
EQ_0229,robot,1059,79.2,0,296,54,52.19,1185,0,none
EQ_0230,conveyor,1901,74.71,2,363,106,35.01,913,1,jam
EQ_0231,divert,1415,67.46,3,105,89,37.6,704,0,none
EQ_0232,induct station,631,77.74,0,83,82,38.79,749,0,none
EQ_0233,divert,924,79.22,3,247,75,33.03,1671,0,none
EQ_0234,divert,1545,86.43,1,383,14,51.45,1836,0,none
EQ_0235,sorter,214,64.68,5,177,117,58.51,2231,0,none
EQ_0236,conveyor,944,85.6,2,353,28,43.26,1453,0,none
EQ_0237,divert,2140,80.12,1,197,98,44.49,2100,1,jam
EQ_0238,sorter,2939,83.24,4,293,60,63.56,1070,0,none
EQ_0239,conveyor,660,70.25,2,213,15,38.01,875,0,none
EQ_0240,divert,2841,73.67,3,247,3,57.67,2491,0,none
EQ_0241,conveyor,1117,75.83,3,196,51,97.9,1278,0,none
EQ_0242,sorter,2601,93.25,3,237,104,39.39,1733,1,belt_issues
EQ_0243,conveyor,2651,102.24,2,282,114,22.54,2398,1,overheating
EQ_0244,sorter,89,108.52,0,7,101,52.74,1427,0,none
EQ_0245,divert,1965,71.39,5,128,63,64.16,1632,0,none
EQ_0246,divert,1960,82.41,4,324,25,40.76,630,0,none
EQ_0247,conveyor,2450,71.71,4,59,44,31.14,1900,0,none
EQ_0248,divert,1468,81.32,4,276,28,60.98,2283,0,none
EQ_0249,conveyor,1291,75.13,1,337,58,44.5,1598,0,none
EQ_0250,induct station,2376,59.78,4,271,34,68.66,1589,0,none
EQ_0251,divert,532,72.42,2,246,87,53.02,1139,0,none
EQ_0252,divert,2288,88.41,2,312,117,44.33,1448,1,overheating
EQ_0253,robot,2069,82.21,5,90,98,57.34,1387,0,none
EQ_0254,robot,2655,91.28,3,83,113,48.19,780,1,sensor_fault
EQ_0255,robot,473,81.98,4,200,28,52.86,1479,0,none
EQ_0256,sorter,2270,88.66,2,316,36,42.1,1435,0,none
EQ_0257,robot,2562,55.38,3,195,68,45.56,1487,1,belt_issues
EQ_0258,sorter,1849,73.71,5,267,35,61.92,1278,0,none
EQ_0259,robot,543,78.84,2,200,61,67.43,2428,0,none
EQ_0260,induct station,1397,71.79,3,307,93,53.62,905,0,none
EQ_0261,robot,2329,77.07,3,259,22,59.52,575,0,none
EQ_0262,conveyor,628,83.09,4,152,82,52.15,2436,0,none
EQ_0263,conveyor,2670,70.66,1,92,109,49.44,1252,0,none
EQ_0264,induct station,916,83.42,2,48,46,31.4,1380,0,none
EQ_0265,divert,1263,81.58,3,105,107,54.33,2345,0,none
EQ_0266,divert,2479,87.95,5,191,11,41.27,2017,0,none
EQ_0267,conveyor,956,73.21,4,267,61,40.21,1763,0,none
EQ_0268,conveyor,2002,72.2,1,174,84,52.2,1349,0,none
EQ_0269,divert,1731,74.78,2,83,113,36.63,2260,0,none
EQ_0270,sorter,381,75.3,5,209,51,40.25,1641,0,none
EQ_0271,divert,2810,89.44,3,399,94,54.31,795,1,motor_fault
EQ_0272,sorter,2355,77.6,3,212,62,46.88,548,1,motor_fault
EQ_0273,conveyor,1200,93.19,5,121,30,37.01,1711,0,none
EQ_0274,sorter,1939,66.85,2,74,48,17.66,1171,0,none
EQ_0275,robot,2091,74.73,3,6,68,48.88,920,0,none
EQ_0276,robot,1641,80.73,1,125,11,18.26,1316,0,none
EQ_0277,sorter,2978,89.58,3,387,113,74.23,2400,1,belt_issues
EQ_0278,divert,1507,72.31,3,362,64,49.78,1757,0,none
EQ_0279,robot,1891,67.94,3,123,101,43.35,1558,0,none
EQ_0280,divert,2743,92.08,4,277,68,55.54,1592,1,overheating
EQ_0281,conveyor,2402,62.78,4,249,113,51.85,840,1,overheating
EQ_0282,robot,432,54.25,2,110,98,61.22,638,0,none
EQ_0283,conveyor,1045,81.5,3,283,5,63.49,1156,0,none
EQ_0284,sorter,2710,59.71,5,394,103,53.61,975,1,motor_fault
EQ_0285,conveyor,1026,73.66,0,69,17,79.52,1382,0,none
EQ_0286,conveyor,2244,67.09,4,215,23,50.43,898,0,none
EQ_0287,divert,1996,52.37,8,328,72,97.07,615,1,sensor_fault
EQ_0288,robot,2434,85.12,2,21,93,5.89,2249,1,motor_fault
EQ_0289,divert,732,78.95,5,221,47,66.19,1686,0,none
EQ_0290,sorter,68,76.52,1,140,104,44.65,1147,0,none
EQ_0291,robot,2285,92.27,2,264,34,60.62,1441,1,sensor_fault
EQ_0292,robot,463,103.31,2,82,102,61.77,2051,0,none
EQ_0293,divert,1139,78.01,2,12,56,37.74,610,0,none
EQ_0294,induct station,2000,68.77,5,320,17,35.9,1756,0,none
EQ_0295,robot,1743,78.72,2,336,55,54.16,1546,0,none
EQ_0296,conveyor,2641,104.25,1,159,114,30.64,1537,1,jam
EQ_0297,induct station,2509,68.8,2,58,87,34.49,1275,0,none
EQ_0298,robot,1539,64.52,5,240,93,45.14,1677,0,none
EQ_0299,conveyor,1859,89.46,2,324,44,34.51,1388,0,none
EQ_0300,conveyor,1905,70.1,3,99,82,45.44,1410,0,none
EQ_0301,robot,868,88.21,2,185,87,47.94,717,0,none
EQ_0302,sorter,1998,96.83,1,22,85,30.08,2440,1,motor_fault
EQ_0303,sorter,284,80.3,4,210,12,51.03,1816,0,none
EQ_0304,induct station,2907,77.96,3,255,78,35.45,726,1,overheating
EQ_0305,induct station,1309,80.64,5,99,109,30.11,2378,0,none
EQ_0306,divert,1246,76.82,4,27,104,43.49,1321,0,none
EQ_0307,conveyor,1511,68.3,0,12,57,52.31,548,0,none
EQ_0308,conveyor,167,80.76,2,101,24,72.2,2293,0,none
EQ_0309,conveyor,2055,80.12,0,386,111,51.23,1113,1,sensor_fault
EQ_0310,divert,2114,74.94,2,345,102,56.65,2356,1,jam
EQ_0311,robot,168,86.58,3,186,47,60.77,2257,0,none
EQ_0312,divert,2842,73.75,0,152,33,41.4,554,0,none
EQ_0313,divert,2616,63.13,0,42,117,27.99,983,0,none
EQ_0314,sorter,1022,86.04,3,156,98,60.15,1749,0,none
EQ_0315,induct station,2509,69.52,4,330,15,49.36,2323,0,none
EQ_0316,sorter,2637,69.95,5,180,72,59.45,1883,0,none
EQ_0317,conveyor,1141,96.97,3,187,57,34.77,1058,0,none
EQ_0318,robot,208,74.16,1,307,105,52.28,958,0,none
EQ_0319,robot,2345,58.71,2,293,62,52.77,1097,1,jam
EQ_0320,robot,2543,104.25,1,5,93,21.58,1019,1,sensor_fault
EQ_0321,sorter,542,72.85,7,88,18,58.83,1542,0,none
EQ_0322,conveyor,2056,80.28,8,140,106,40.07,507,1,motor_fault
EQ_0323,divert,2575,66.46,3,341,93,62.46,585,1,belt_issues
EQ_0324,divert,186,83.56,3,169,104,58.2,821,0,none
EQ_0325,sorter,2553,70.71,3,227,9,61.41,1961,0,none
EQ_0326,sorter,716,77.91,3,93,35,59.23,2134,0,none
EQ_0327,sorter,2815,92.94,5,314,75,21.26,1564,1,sensor_fault
EQ_0328,induct station,154,83.3,3,148,99,37.03,1087,0,none
EQ_0329,conveyor,2379,75.82,7,108,93,52.6,2427,1,sensor_fault
EQ_0330,robot,2650,86.95,0,323,15,25.62,920,0,none
EQ_0331,induct station,1970,93.19,5,180,116,44.47,778,1,sensor_fault
EQ_0332,robot,2974,86.28,2,84,61,11.62,711,1,sensor_fault
EQ_0333,conveyor,1588,70.87,7,205,57,35.51,1905,0,none
EQ_0334,induct station,545,95.52,2,201,32,24.2,942,1,jam
EQ_0335,induct station,2259,83.02,1,272,68,71.02,2083,1,sensor_fault
EQ_0336,sorter,2533,66.91,5,193,104,54.95,2306,1,belt_issues
EQ_0337,robot,1964,74.71,2,250,41,53.31,976,0,none
EQ_0338,robot,2170,62.41,7,270,100,31.67,2067,1,sensor_fault
EQ_0339,sorter,2961,69.45,0,371,35,71.67,987,1,jam
EQ_0340,sorter,127,59.79,4,192,69,44.64,782,0,none
EQ_0341,induct station,439,83.05,5,327,7,45.46,1729,0,none
EQ_0342,robot,424,92.54,1,327,97,53.92,612,1,motor_fault
EQ_0343,conveyor,1085,65.97,4,117,59,33.47,1556,0,none
EQ_0344,robot,1391,75.05,1,46,39,40.79,951,0,none
EQ_0345,robot,2386,94.65,3,247,20,67.2,1552,1,overheating
EQ_0346,induct station,1865,71.92,2,16,66,24.97,1017,1,overheating
EQ_0347,robot,1398,78.53,2,176,76,55.68,2106,0,none
EQ_0348,conveyor,2484,77.0,3,294,91,28.26,1168,1,jam
EQ_0349,robot,1568,77.0,2,366,66,52.79,1937,0,none
EQ_0350,sorter,2899,67.14,5,257,29,71.83,1975,1,overheating
EQ_0351,robot,1138,76.39,3,247,22,34.9,1367,0,none
EQ_0352,conveyor,659,71.96,5,72,109,47.88,545,0,none
EQ_0353,conveyor,667,68.02,5,366,15,60.46,1143,0,none
EQ_0354,divert,2476,99.0,3,368,117,70.72,650,1,belt_issues
EQ_0355,robot,1184,68.59,2,60,50,39.64,1462,0,none
EQ_0356,robot,1387,97.15,3,163,59,74.51,818,0,none
EQ_0357,induct station,2686,72.31,3,208,73,69.89,1008,1,overheating
EQ_0358,divert,439,70.84,3,186,85,66.11,1269,0,none
EQ_0359,conveyor,494,81.96,3,334,92,63.42,2053,0,none
EQ_0360,induct station,112,72.25,0,259,86,23.4,755,1,overheating
EQ_0361,sorter,184,77.83,3,241,1,39.65,2137,0,none
EQ_0362,robot,1414,84.51,4,195,12,34.42,1967,0,none
EQ_0363,conveyor,2380,113.39,4,31,55,68.67,2387,0,none
EQ_0364,induct station,1621,61.37,2,316,9,71.74,1529,0,none
EQ_0365,conveyor,2206,61.19,7,164,87,50.21,1152,1,overheating
EQ_0366,divert,2769,65.56,1,103,85,61.16,949,0,none
EQ_0367,sorter,534,79.35,1,208,107,76.17,915,1,motor_fault
EQ_0368,induct station,548,69.49,1,200,106,31.12,2063,0,none
EQ_0369,conveyor,2303,71.9,3,362,9,40.09,1698,0,none
EQ_0370,robot,68,67.84,3,384,34,75.8,592,0,none
EQ_0371,divert,288,81.02,1,127,88,36.25,1805,0,none
EQ_0372,robot,2114,72.33,3,240,62,30.73,1028,1,jam
EQ_0373,robot,2268,77.45,4,155,73,38.53,1131,0,none
EQ_0374,divert,1897,82.47,4,338,19,55.84,1461,0,none
EQ_0375,robot,478,74.09,2,383,48,49.84,693,0,none
EQ_0376,induct station,2631,61.94,7,220,106,48.69,2256,1,motor_fault
EQ_0377,induct station,2420,70.38,1,61,4,32.16,2030,0,none
EQ_0378,robot,1957,76.43,6,206,48,44.07,1932,1,overheating
EQ_0379,sorter,2005,83.49,4,210,64,71.84,543,1,sensor_fault
EQ_0380,induct station,2668,72.68,9,169,61,42.81,1792,1,belt_issues
EQ_0381,sorter,2364,67.83,2,93,94,40.22,1215,0,none
EQ_0382,divert,699,61.53,2,345,23,50.47,1157,0,none
EQ_0383,divert,2833,96.61,4,155,21,17.5,1901,1,motor_fault
EQ_0384,induct station,972,59.69,5,356,84,59.27,703,0,none
EQ_0385,divert,210,72.48,1,95,35,49.0,2114,0,none
EQ_0386,conveyor,1590,89.76,3,254,29,55.34,954,0,none
EQ_0387,robot,153,69.97,9,346,35,54.13,850,0,none
EQ_0388,robot,2350,80.07,3,303,117,48.98,1302,1,sensor_fault
EQ_0389,induct station,2695,94.02,0,206,107,59.45,1965,1,overheating
EQ_0390,divert,564,89.6,6,275,48,54.96,710,0,none
EQ_0391,robot,2952,82.41,6,202,32,18.5,2430,1,belt_issues
EQ_0392,induct station,2286,92.27,3,58,89,67.57,1500,1,belt_issues
EQ_0393,sorter,1255,69.09,3,213,114,42.72,1442,0,none
EQ_0394,divert,2818,73.98,0,111,33,55.14,874,0,none
